編號,name,別稱,標高M,三角點,緯度N,經度E,圖名,圖號,山脈,轄區,轄區,區域,備註,latitude,longitude
132,奇萊主山,,3560,三等5984,282035.771,2664790.863,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.085997438,121.323233713
133,卡羅樓山,,3385,,281470,2664095,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.079725938,121.31765377
134,奇萊裡山,杜瓦拉斯山,3333,,279720,2662208,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.062722358,121.300403336
135,奇萊主山南峰,,3358,二等1469,277626.055,2662037.126,能高山,9621-2.SW,奇萊南峰支脈,南投仁愛,,,,24.061218511,121.279809324
136,奇萊主山南南峰,深堀山,3311,,277093,2661141,能高山,9621-2.SW,奇萊南峰支脈,南投仁愛,,,,24.053136549,121.274550405
137,南華山,能高山北峰,3184,三等5942,278252.234,2659615.052,能高山,9621-2.SW,中央山脈主脊,南投仁愛,花蓮秀林,,,24.039337319,121.285918303
138,卡賀爾山,,3105,,276661,2655989,能高山,9621-2.SW,中央山脈主脊,南投仁愛,花蓮秀林,,,24.006624595,121.270205381
139,能高山,能高主山,3262,三等5957,275651.408,2654404.485,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.992334464,121.26025314
140,能高山南峰,,3349,二等1453,277471.472,2651422.181,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.965374463,121.27808308
141,巴沙彎山,奇萊大山,3029,三等6008,281260,2651156,望台山,9620-1.NW,巴沙彎山支脈,花蓮秀林,,,,23.962899037,121.315303394
142,光頭山,知亞干山,3060,三等5956,276853.401,2648388.998,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.937997222,121.271952453
143,白石東峰,東白石山,3082,,278196,2644918,望台山,9620-1.NW,中央山脈支脈,花蓮秀林,,,,23.906631849,121.285073299
144,白石,山,3110,三等5955,277148.277,2645016.739,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮萬榮,,,23.90754215,121.274784874
145,安東軍山,安東郡山,3068,一等,276273.117,2641157.719,大安山,9620-1.SW,中央山脈主脊,南投仁愛,花蓮萬榮,,,23.872711958,121.266118041
146,萬東山西峰,火山,3258,三等5966,268068.082,2638836.798,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.851873028,121.185522311
147,牧山,,3241,三等5969,265488.856,2640054.355,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.862895588,121.160214188
148,干卓萬三岔峰,,3241,,264898,2640290,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.865029311,121.154415466
149,干卓萬山,,3284,二等1460,263325.678,2641508.356,奧萬大,9620-4.NE,干卓萬山支脈,南投仁愛,,,,23.876045371,121.138989304
150,干卓萬山東南峰,,3135,,266815,2640959,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,,,,23.871050126,121.173245625
151,卓社大山東峰,,3245,,264102,2638387,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.847853464,121.146580576
152,雙子山,,3049,三等5976,264553,2637552,北丹大山,9620-4.SE,干卓萬山支脈,南投信義,基點2997M,,,23.840309392,121.150999418
153,卓社大山,,3369,二等1455,260970.104,2636913.081,卓社134,9620-4.SW,干卓萬山支脈,南投仁愛,南投信義,,,23.834570586,121.11582214
154,六順山,,2999,森林,273595,2624740,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.724508083,121.239549468
155,關門山北峰,,3028,森林,273578,2621446,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.694764166,121.239328465
156,大石公山,,3030,,272015,2614645,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.633374973,121.223897527
157,丹大山,,3340,森林,270964,2610994,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮萬榮,花蓮卓溪,,23.600421232,121.213543089
158,丹大山東峰,,3145,,271984,2611201,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.602276364,121.223540925
159,大理石峰,,3014,,274153,2611414,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.604167685,121.244798137
160,阿巴拉山,阿拔子山,3044,,274186,2612148,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.610795136,121.245133826
161,阿屘那來山,,3061,,274192,2610418,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.595173274,121.245163576
162,廬利拉駱山,,3175,,269627,2610543,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.596366185,121.200436035
163,廬利拉駱山西峰,,3123,,268524,2610378,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.594889813,121.189626249
164,馬路巴拉讓山西峰,,3205,,267412,2609012,豐坪溪,9620-3.SE,內嶺爾山支脈,南投信義,花蓮卓溪,,,23.582567781,121.178713828
165,馬路巴拉讓山,,3255,,267826,2608876,豐坪溪,9620-3.SE,內嶺爾山支脈,花蓮卓溪,,,,23.581334985,121.182768247
166,內嶺爾山,,3275,,269218,2608668,豐坪溪,9620-3.SE,內嶺爾山支脈,花蓮卓溪,,,,23.579440109,121.196403285
167,義西請馬至山,,3245,,264814,2609440,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.586459812,121.153264672
168,斷稜東山,,3295,,264182,2610354,豐坪溪,9620-3.SE,東郡大山支脈,南投信義,,,,23.59471921,121.147081729
169,斷稜西山,,3313,,263594,2610553,豐坪溪,9620-3.SE,東郡大山支脈,南投信義,,,,23.596521527,121.141322248
170,紅崖山,,3215,森林,263661,2612782,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.616648743,121.142000422
171,紅崖山北峰,,3125,,263652,2613698,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.624920266,121.141921132
172,九華山,,3139,,264333,2614767,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.63456703,121.148606203
173,九華山西峰,,3155,,263489,2614851,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.635333249,121.140334736
174,裡門山,,3335,森林,263285,2610409,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.595223934,121.138293164
175,望崖山,,3307,,262286,2611050,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.601020565,121.128510249
176,天南可蘭山,橫郡山,3404,,262437,2611856,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.608297499,121.129997042
177,可樂可樂安山,尖郡山,3525,,261120,2613668,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.62467008,121.117105866
178,郡東山,,3477,,259988,2614094,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.628524821,121.10601474
179,郡北山,,3454,,260023,2615716,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.643171171,121.106369602
180,東郡大山,卡伊西山,3619,森一等,258566.571,2613894.788,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.626734837,121.092082282
181,烏達佩山,宇達佩山,3512,,258141,2615646,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.642550631,121.087921943
182,東巒大山,,3468,,257492,2616323,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.648667382,121.081564307
183,本鄉山,,3447,,257915,2612190,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.611344297,121.085686411
184,本鄉山西峰,,3061,,255744,2612356,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.612853561,121.064412279
185,櫧山,瓦哈西般山,3437,,257580,2609903,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.590694464,121.082390653
186,無雙山東峰,,3228,,255384,2609990,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.591489997,121.060874529
187,無雙山,馬西柔干山,3185,森林,264995,2609932,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.590900808,121.155043275
188,烏妹浪胖山,,3031,,264823,2607783,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.571497011,121.15333547
189,僕落西擴山,,3055,,264091,2605875,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.554274634,121.14614531
190,烏馬克冬山,,3022,,264110,2603625,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.533956856,121.146308938
191,馬利加南山東峰,,3377,,262986,2601514,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.514904332,121.135281213
192,馬西山,柏南山,3443,森.2等1680,266940.758,2598068.773,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,升,一等測量,,23.483755178,121.173966894
193,馬西山北峰,,3185,,266885,2599695,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.498440771,121.173440231
194,喀西帕南山西峰,,3187,,267952,2596306,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.467825785,121.18384497
195,喀西帕南山,卡西巴南山,3276,,268828,2595795,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.463201052,121.192413353
196,喀西帕南山北峰,,3022,,269315,2597710,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.480487749,121.197206078
197,喀西帕南山南峰,,3165,,268651,2594673,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.45307138,121.190666229
198,布干山,,3339,,265529,2596310,柏南山,9619-4.NE,玉里山支脈,花蓮卓溪,,,,23.467888062,121.160126494
199,馬利加南山,塔比拉山,3546,森林,261136,2602253,櫧山,9620-3.SW,中央山脈主脊,花蓮卓溪,南投信義,,,23.521592251,121.117171173
200,馬利加南山北峰,塔比拉北山,3118,,261552,2603883,櫧山,9620-3.SW,中央山脈主脊,南投信義,花蓮卓溪,,,23.53630815,121.121258507
201,馬里亞文路山,,3483,,258606,2601527,櫧山,9620-3.SW,中央山脈主脊,南投信義,花蓮卓溪,,,23.515053079,121.092390548
202,馬里亞文路山東峰,,3444,,259124,2602267,櫧山,9620-3.SW,中央山脈主脊,南投信義,花蓮卓溪,,,23.521732255,121.097467943
203,馬里亞文路山北峰,,3205,,258953,2603243,櫧山,9620-3.SW,中央山脈主脊,南投信義,,,,23.530546655,121.095799734
204,馬博拉斯山,烏拉孟山,3765,森林,256037,2602111,櫧山,9620-3.SW,中央山脈主脊,南投信義,花蓮卓溪,,,23.520339551,121.067236478
205,黃當擴山,,3196,,256157,2605066,櫧山,9620-3.SW,黃當擴山支脈,南投信義,,,,23.547022928,121.068425416
206,黃當擴山中峰,,3172,,256886,2603632,櫧山,9620-3.SW,黃當擴山支脈,南投信義,,,,23.534070501,121.075558424
207,黃當擴山南峰,,3348,,256809,2602814,櫧山,9620-3.SW,黃當擴山支脈,南投信義,,,,23.526684257,121.074800123
208,駒盆山,盆駒山,3022,二等1693,252492,2605216,櫧山,9620-3.SW,駒盆山支脈,南投信義,,,,23.548389088,121.032527806
209,駒盆山中峰,,3109,,253322,2604548,櫧山,9620-3.SW,駒盆山支脈,南投信義,,,,23.542355087,121.040655721
210,駒盆山南峰,,3432,,254287,2602517,櫧山,9620-3.SW,駒盆山支脈,南投信義,,,,23.524012229,121.050100424
211,秀姑巒山,馬霍拉斯山,3800,二等1691,255038,2599503,櫧山,9620-3.SW,中央山脈主脊,南投信義,花蓮卓溪,,,23.496792937,121.057443233
212,太魯那斯山,大魯那斯山,3205,,258022,2597841,大水窟山,9619-4.NW,太魯那斯支稜,花蓮卓溪,,,,23.481771353,121.086650005
213,八通關山東峰,巴奈伊克山,3321,,252390,2599072,大水窟山,9619-4.NW,八通關山支脈,南投信義,,,,23.492908352,121.031515515
214,八通關山,八通關大山,3335,森林,250150,2598771,大水窟山,9619-4.NW,八通關山支脈,南投信義,,,,23.490193173,121.009583926
215,八通關山西峰,,3245,,249596,2598729,玉山,9619-1.NE,八通關山支脈,南投信義,,,,23.489814147,121.004159922
216,大水窟山,,3642,,253116,2596962,大水窟山,9619-4.NW,中央山脈主脊,南投信義,花蓮卓溪,,,23.47385315,121.038618086
217,踯躅山,杜鵑山,3005,,250108,2596715,大水窟山,9619-4.NW,中央山脈支稜,南投信義,,,,23.471627213,121.009171437
218,達芬尖北峰,,3045,,250246,2593880,大水窟山,9619-4.NW,中央山脈支稜,南投信義,,,,23.446026586,121.010520322
219,南大水窟山,,3381,森林,254482,2594412,大水窟山,9619-4.NW,中央山脈支稜,南投信義,花蓮卓溪,,,23.450822341,121.051981376
220,北面山,,3167,,252247,2594098,大水窟山,9619-4.NW,中央山脈支稜,南投信義,,,,23.447992618,121.030105239
221,尖山,達芬尖山,3208,,250507,2592401,大水窟山,9619-4.NW,中央山脈主脊,南投信義,花蓮卓溪,高雄桃源,,23.432670733,121.013073504
222,塔芬山,達芬山,3070,二等1679,251909.406,2589451.854,大水窟山,9619-4.NW,中央山脈主脊,花蓮卓溪,高雄桃源,,,23.406037549,121.026792587
223,塔芬山南峰,,3027,,250780,2588460,大水窟山,9619-4.NW,中央山脈主脊,花蓮卓溪,高雄桃源,,,23.397082374,121.015740969
224,轆轆山東峰,,3445,,249286,2587872,玉山,9519-1.NE,中央山脈主脊,高雄桃源,,,,23.391773376,121.001124015
225,轆轆山,馬江之子山,3279,三等7530,248974.842,2587826.441,玉山,9519-1.NE,中央山脈西側,高雄桃源,,,,23.391361959,120.998079852
226,轆轆山南峰,,3089,,249503,2586921,玉山,9519-1.NE,中央山脈主脊,高雄桃源,花蓮卓溪,,,23.383185573,121.003246793
227,雲峰東北峰,,3255,,247899,2585601,垭口,9519-1.SE,中央山脈主脊,高雄桃源,花蓮卓溪,,,23.371265159,120.987556421
228,雲峰東峰,,3445,,247853,2584236,垭口,9519-1.SE,中央山脈主脊,高雄桃源,花蓮卓溪,,,23.358938788,120.987107648
229,雲峰中鋒,,3515,,247431,2583623,垭口,9519-1.SE,雲峰支脈,高雄桃源,花蓮卓溪,,,23.353402825,120.982980797
230,雲峰,,3564,二等1684,246692.409,258366.78,垭口,9519-1.SE,雲峰支脈,高雄桃源,,,,2.335155226,120.977713181
231,玉穗山,王德山,3045,三等7527,242933,2583733,垭口,9519-1.SE,雲峰支脈,高雄桃源,,,,23.354385192,120.938987503
232,南雙頭山,,3356,,250248,2582797,三叉山,9619-4.SW,中央山脈主脊,高雄桃源,花蓮卓溪,,,23.345944369,121.010531978
233,南雙頭山東峰,東南雙頭山,3335,,251017,2583100,三叉山,9619-4.SW,中央山脈主脊,高雄桃源,花蓮卓溪,,,23.348679864,121.01805316
234,三叉山,霞雪沙山,3496,一等,252103.809,2577397.536,三叉山,9619-4.SW,中央山脈主脊,高雄桃源,花蓮卓溪,台東海端,,23.297183152,121.028671308
235,連理山西峰,,3161,,256738,2578383,三叉山,9619-4.SW,新康山支脈,花蓮卓溪,,,,23.306067407,121.073982015
236,連理山,社卡班山,3136,,259741,2579039,三叉山,9619-4.SW,新康山支脈,花蓮卓溪,,,,23.3119747,121.103347101
237,新仙山,,3124,二等1678,261190,2580021,三叉山,9619-4.SW,新康山支脈,花蓮卓溪,,,,23.320832492,121.117522472
238,新康山,新關山,3331,森林,262199,2579533,三叉山,9619-4.SW,新康山支脈,花蓮卓溪,,,,23.31641799,121.127384404
239,天宮堡壘,,3315,,262265,2579317,三叉山,9619-4.SW,新康山支脈,花蓮卓溪,,,,23.314466916,121.128027871
240,布拉克桑山,武拉姑散山,3025,森林,257225,2570274,利稻,9619-4.SW,布拉克桑支脈,花蓮卓溪,台東海端,,,23.232837714,121.078700419
241,向陽山北峰,向陽北山,3435,,250040,2576706,垭口,9619-3.NW,中央山脈主脊,高雄桃源,台東海端,,,23.290940722,121.008494245
242,向陽山,紅葉山,3603,三等7529,248396.038,2575969.615,垭口,9519-1.SE,中央山脈主脊,高雄桃源,台東海端,,,23.284290939,120.992423304
243,魔保來山,,3295,三等7524,246382,2575703,垭口,9519-1.SE,中央山脈主脊,高雄桃源,台東海端,基點2856M,,23.28188112,120.972735607
244,溪頭山,,3272,,245946,2575251,垭口,9519-1.SE,中央山脈主脊,高雄桃源,台東海端,,,23.27779859,120.968474535
245,關山嶺,,3176,二等1683,245023.229,2574497.875,垭口,9519-1.SE,中央山脈主脊,高雄桃源,台東海端,,,23.270995512,120.959456503
246,塔關山,大關山,3222,三等7535,243152,2572391.224,垭口,9519-1.SE,中央山脈主脊,高雄桃源,台東海端,,,23.251965829,120.941174514
247,恐龍尖,,3435,,243065,2572129,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.249597519,120.940325306
248,鷹子嘴山,,3262,,242870,2571650,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.245271216,120.938421568
249,關山北峰,中關山,3429,,241625,2571559,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.244444209,120.926255098
250,庫哈諾辛山,吳哇挪信山,3116,三等7534,238944.079,2573590.432,垭口,9519-1.SE,庫哈諾辛山支脈,高雄桃源,,,,23.26277436,120.900041956
251,關山,,3668,森二1674,240136.261,2569748.334,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.228085634,120.911717058
252,海諾南山,,3175,三等7217,240093.584,2565043.467,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.185598323,120.911328084
253,小關山北峰,,3239,,238423,2562318,向陽,9519-2.NE,中央山脈主脊,高雄桃源,台東海端,,,23.160975993,120.895028547
254,小關山,,3249,二等1668,236486.07,2561287.199,桃源,9519-2.NW,中央山脈主脊,高雄桃源,台東海端,,,23.151653604,120.876120104
255,雲水山,,3013,,237668,2559672,桃源,9519-2.NW,中央山脈主脊,高雄桃源,台東海端,基點2871M,,23.137076173,120.887674765
256,馬西巴秀山,,3022,森林,237738,2556268,尖石山,9519-2.SE,中央山脈主脊,高雄桃源,台東海端,基點3020M,,23.106336691,120.888383727
257,卑南主山北峰,,3267,,235238,2551318,卑南主山,9519-2.SW,中央山脈主脊,高雄桃源,台東海端,,,23.061616184,120.864022377
258,卑南主山西峰,,3120,,234964,2549922,卑南主山,9519-2.SW,中央山脈支脈,高雄桃源,,,,23.049007131,120.861361241
259,卑南主山,,3295,一等,236280.233,2550161.55,卑南主山,9519-2.SW,中央山脈主脊,高雄桃源,台東海端,,,23.051181156,120.874203544
260,卑南主山東峰,,3065,,238693,2549991,卑南主山,9519-2.SW,中央山脈支脈,台東海端,台東延平,,,23.049657962,120.897749818
261,卑南主山南峰,,3185,,236857,2548369,卑南主山,9519-2.SW,中央山脈主脊,高雄桃源,,,,23.034997679,120.879846312
262,大武山,北大武山,3092,一等,224645.875,2503213.855,霧頭,9518-2.NW,中央山脈主脊,屏東泰武,台東金峰,,,22.627074756,120.761410035
263,玉山東側副峰,,3945,內補357,244806,2596535,玉山,9519-1.NE,玉山山脈,南投信義,嘉義阿里山,高雄桃源,,23.4699962,120.957269468
